                                                            BRIAN KEMP  (REP)                                                                                                                                     STACEY ABRAMS  (DEM)                                                                                                                                  TED METZ (LIB)                                                                                                                                        
County                        Registered.Voters             R.Election.Day                  R.Absentee.by.Mail              R.Advance.in.Person             R.Provisional                   R.Choice.Total                  D.Election.Day                  D.Absentee.by.Mail              D.Advance.in.Person             D.Provisional                   D.Choice.Total                  L.Election.Day                  L.Absentee.by.Mail              L.Advance.in.Person             L.Provisional                   L.Choice.Total                  Total                         
Appling                       10613                         2334                          357                           2735                          0                             5426                          630                           170                           557                           0                             1357                          14                            3                             6                             0                             23                            6806                          
Atkinson                      4252                          808                           45                            1022                          0                             1875                          333                           43                            260                           0                             636                           6                             0                             3                             0                             9                             2520                          
Bacon                         6010                          609                           127                           2585                          0                             3321                          211                           46                            231                           0                             488                           7                             1                             12                            0                             20                            3829                          
Baker                         2232                          409                           60                            284                           0                             753                           254                           80                            199                           2                             535                           2                             1                             2                             0                             5                             1293                          
Baldwin                       23399                         3054                          336                           4345                          0                             7735                          3070                          808                           3907                          0                             7785                          56                            9                             43                            0                             108                           15628                         
Banks                         10807                         3471                          178                           2500                          0                             6149                          349                           40                            256                           0                             645                           38                            4                             15                            0                             57                            6851                          
Barrow                        47514                         10278                         686                           9195                          0                             20159                         3400                          560                           2934                          0                             6894                          234                           15                            94                            0                             343                           27396                         
Bartow                        64074                         15129                         961                           12305                         0                             28395                         4160                          576                           3767                          0                             8503                          295                           11                            103                           0                             409                           37307                         
BenHill                      9258                          931                           89                            2518                          0                             3538                          671                           227                           1073                          0                             1971                          6                             4                             14                            0                             24                            5533                          
Berrien                       10247                         2299                          224                           2788                          0                             5311                          452                           93                            353                           0                             898                           21                            5                             12                            0                             38                            6247                          
Bibb                          99934                         14025                         1189                          7746                          0                             22960                         15527                         3242                          17710                         0                             36479                         264                           37                            98                            0                             399                           59838                         
Bleckley                      6944                          1342                          142                           2332                          0                             3816                          426                           112                           459                           0                             997                           25                            3                             14                            0                             42                            4855                          
Brantley                      9984                          2405                          150                           2640                          0                             5195                          206                           35                            218                           0                             459                           22                            3                             10                            0                             35                            5689                          
Brooks                        9911                          1799                          100                           1602                          0                             3501                          1003                          363                           806                           0                             2172                          12                            2                             9                             0                             23                            5696                          
