




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Wheeler                       2751                          1942                          70.59%
White                         18137                         11469                         63.24%
Whitfield                     46058                         27405                         59.50%
Wilcox                        4237                          2824                          66.65%
Wilkes                        6345                          4387                          69.14%
Wilkinson                     6016                          4274                          71.04%
Worth                         12645                         7852                          62.10%
Total:                        6428581                       3930881                       61.15%

                                                                                                                                                                                                                                                       Governor
                                                            BRIAN KEMP  (REP)                                                                                                                                     STACEY ABRAMS  (DEM)                                                                                                                                  TED METZ (LIB)                                                                                                                                        
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       10613                         2334                          357                           2735                          0                             5426                          630                           170                           557                           0                             1357                          14                            3                             6                             0                             23                            6806                          
Atkinson                      4252                          808                           45                            1022                          0                             1875                          333                           43                            260                           0                             636                           6                             0                             3                             0                             9                             2520                          
Bacon                         6010                          609                           127                           2585                          0                             3321                          211                           46                            231                           0                             488                           7                             1                             12                            0                             20                            3829                          
Baker                         2232                          409                           60                            284                           0                             753                           254                           80                            199                           2                             535                           2                             1                             2                             0                             5                             1293                          
Baldwin                       23399                         3054                          336                           4345                          0                             7735                          3070                          808                           3907                          0                             7785                          56                            9                             43                            0                             108                           15628                         
Banks                         10807                         3471                          178                           2500                          0                             6149                          349                           40                            256                           0                             645                           38                            4                             15                            0                             57                            6851                          
Barrow                        47514                         10278                         686                           9195                          0                             20159                         3400                          560                           2934                          0                             6894                          234                           15                            94                            0                             343                           27396                         
Bartow                        64074                         15129                         961                           12305                         0                             28395                         4160                          576                           3767                          0                             8503                          295                           11                            103                           0                             409                           37307                         
Ben Hill                      9258                          931                           89                            2518                          0                             3538                          671                           227                           1073                          0                             1971                          6                             4                             14                            0                             24                            5533                          
Berrien                       10247                         2299                          224                           2788                          0                             5311                          452                           93                            353                           0                             898                           21                            5                             12                            0                             38                            6247                          
Bibb                          99934                         14025                         1189                          7746                          0                             22960                         15527                         3242                          17710                         0                             36479                         264                           37                            98                            0                             399                           59838                         
Bleckley                      6944                          1342                          142                           2332                          0                             3816                          426                           112                           459                           0                             997                           25                            3                             14                            0                             42                            4855                          
Brantley                      9984                          2405                          150                           2640                          0                             5195                          206                           35                            218                           0                             459                           22                            3                             10                            0                             35                            5689                          
Brooks                        9911                          1799                          100                           1602                          0                             3501                          1003                          363                           806                           0                             2172                          12                            2                             9                             0                             23                            5696                          
Bryan                         25712                         4253                          229                           6009                          0                             10491                         1695                          343                           2268                          0                             4306                          98                            2                             65                            0                             165                           14962                         
Bulloch                       39983                         7583                          525                           6677                          0                             14785                         3588                          535                           4432                          0                             8555                          126                           14                            61                            0                             201                           23541                         
Burke                         14449                         2310                          242                           1858                          0                             4410                          2212                          724                           1331                          0                             4267                          30                            2                             10                            0                             42                            8719                          
Butts                         15280                         1412                          203                           4743                          0                             6358                          778                           174                           1499                          0                             2451                          16                            3                             35                            0                             54                            8863                          
Calhoun                       2982                          430                           36                            344                           0                             810                           676                           148                           260                           0                             1084                          1                             1                             3                             0                             5                             1899                          
Camden                        31632                         5265                          508                           5362                          0                             11135                         2372                          678                           2673                          0                             5723                          138                           7                             50                            0                             195                           17053                         
Candler                       5572                          687                           58                            1815                          0                             2560                          387                           59                            514                           1                             961                           9                             1                             6                             0                             16                            3537                          
Carroll                       72908                         14544                         809                           13782                         0                             29135                         5276                          694                           6170                          0                             12140                         301                           10                            148                           0                             459                           41734                         
Catoosa                       40513                         7481                          366                           11008                         0                             18855                         1860                          167                           2553                          0                             4580                          171                           4                             112                           0                             287                           23722                         
Charlton                      6072                          1243                          101                           1182                          8                             2534                          402                           60                            360                           0                             822                           12                            0                             7                             0                             19                            3375                          
Chatham                       188315                        28456                         1589                          11311                         0                             41356                         35520                         4478                          20869                         0                             60867                         847                           50                            158                           0                             1055                          103278                        
