




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Johnson                       5060                          855                           134                           1434                          0                             2423                          351                           95                            435                           0                             881                           19                            2                             23                            0                             44                            3348                          
Jones                         18194                         3106                          363                           4739                          0                             8208                          1378                          390                           2017                          0                             3785                          102                           9                             73                            0                             184                           12177                         
Lamar                         11288                         2166                          179                           2632                          0                             4977                          821                           219                           1047                          0                             2087                          73                            3                             58                            0                             134                           7198                          
Lanier                        5034                          528                           58                            1215                          0                             1801                          306                           42                            367                           0                             715                           29                            1                             24                            0                             54                            2570                          
Laurens                       28805                         6072                          647                           5357                          0                             12076                         2710                          584                           2791                          0                             6085                          114                           9                             97                            0                             220                           18381                         
Lee                           21012                         5440                          246                           4177                          0                             9863                          1656                          220                           1357                          0                             3233                          162                           6                             68                            0                             236                           13332                         
Liberty                       31051                         2666                          176                           2602                          0                             5444                          3278                          741                           5270                          0                             9289                          212                           21                            147                           0                             380                           15113                         
Lincoln                       5748                          1177                          113                           1397                          0                             2687                          424                           234                           469                           0                             1127                          30                            2                             29                            0                             61                            3875                          
Long                          7606                          1212                          46                            1228                          0                             2486                          533                           120                           643                           0                             1296                          50                            2                             45                            0                             97                            3879                          
Lowndes                       67459                         6863                          578                           12425                         0                             19866                         4598                          1080                          8222                          0                             13900                         367                           24                            296                           0                             687                           34453                         
Lumpkin                       19567                         2825                          286                           5770                          0                             8881                          626                           161                           1298                          0                             2085                          178                           9                             198                           0                             385                           11351                         
Macon                         6569                          474                           51                            998                           0                             1523                          1070                          265                           1116                          0                             2451                          21                            1                             18                            0                             40                            4014                          
Madison                       18018                         4408                          328                           4065                          0                             8801                          1226                          181                           978                           0                             2385                          162                           11                            85                            0                             258                           11444                         
Marion                        4468                          972                           60                            737                           0                             1769                          423                           175                           421                           0                             1019                          28                            2                             24                            0                             54                            2842                          
McDuffie                      13587                         1684                          370                           3133                          0                             5187                          1078                          473                           1758                          0                             3309                          50                            15                            58                            0                             123                           8619                          
McIntosh                      8962                          1166                          183                           1803                          0                             3152                          736                           250                           1041                          0                             2027                          59                            2                             30                            0                             91                            5270                          
Meriwether                    13710                         3038                          167                           1720                          0                             4925                          2029                          305                           1021                          0                             3355                          112                           8                             36                            0                             156                           8436                          
Miller                        3814                          777                           83                            859                           0                             1719                          308                           39                            115                           0                             462                           17                            3                             10                            0                             30                            2211                          
Mitchell                      13324                         2035                          160                           1866                          0                             4061                          1359                          395                           1359                          0                             3113                          53                            4                             40                            0                             97                            7271                          
Monroe                        18724                         4402                          300                           4397                          0                             9099                          1272                          385                           1680                          0                             3337                          123                           10                            95                            0                             228                           12664                         
Montgomery                    5145                          1455                          105                           1071                          0                             2631                          361                           97                            295                           0                             753                           29                            2                             7                             0                             38                            3422                          
Morgan                        13100                         2672                          172                           3793                          0                             6637                          880                           218                           1416                          0                             2514                          105                           9                             101                           0                             215                           9366                          
Murray                        19170                         4598                          159                           4266                          0                             9023                          802                           90                            635                           0                             1527                          140                           9                             75                            0                             224                           10774                         
Muscogee                      112540                        13468                         1143                          9246                          0                             23857                         15917                         3065                          17466                         0                             36448                         869                           64                            438                           0                             1371                          61676                         
Newton                        69805                         10472                         739                           7793                          0                             19004                         9714                          1927                          10822                         0                             22463                         588                           35                            281                           0                             904                           42371                         
Oconee                        27538                         5654                          511                           7968                          0                             14133                         1875                          387                           3245                          0                             5507                          386                           14                            278                           0                             678                           20318                         
Oglethorpe                    9473                          1725                          288                           2399                          0                             4412                          751                           101                           883                           0                             1735                          97                            10                            65                            0                             172                           6319                          
Paulding                      98948                         16119                         1794                          21630                         0                             39543                         7631                          1363                          10051                         0                             19045                         938                           55                            734                           0                             1727                          60315                         
Peach                         16632                         1577                          135                           3559                          0                             5271                          1458                          296                           2916                          0                             4670                          80                            7                             103                           0                             190                           10131                         
Pickens                       21151                         4911                          156                           5843                          0                             10910                         783                           50                            1002                          0                             1835                          203                           7                             140                           0                             350                           13095                         
Pierce                        10855                         1607                          250                           4092                          0                             5949                          274                           69                            381                           0                             724                           31                            5                             48                            0                             84                            6757                          
Pike                          12212                         3152                          197                           3777                          0                             7126                          453                           95                            568                           0                             1116                          78                            8                             77                            0                             163                           8405                          
Polk                          20970                         3510                          259                           6024                          0                             9793                          931                           173                           1427                          0                             2531                          114                           10                            132                           0                             256                           12580                         
Pulaski                       5293                          486                           122                           1837                          0                             2445                          315                           94                            556                           0                             965                           16                            4                             46                            0                             66                            3476                          
Putnam                        13578                         2698                          326                           3496                          0                             6520                          995                           240                           1217                          0                             2452                          86                            7                             65                            0                             158                           9130                          
Quitman                       1519                          205                           29                            254                           0                             488                           196                           24                            156                           0                             376                           7                             0                             12                            0                             19                            883                           
Rabun                         11513                         1440                          594                           3827                          0                             5861                          285                           214                           886                           0                             1385                          73                            16                            96                            0                             185                           7431                          
Randolph                      4154                          592                           43                            599                           0                             1234                          584                           261                           560                           0                             1405                          15                            3                             19                            0                             37                            2676                          
Richmond                      122747                        13136                         1190                          7776                          0                             22102                         21075                         3915                          20006                         0                             44996                         909                           102                           466                           0                             1477                          68575                         
Rockdale                      58299                         3919                          417                           7129                          0                             11465                         7447                          1228                          14986                         0                             23661                         383                           23                            367                           0                             773                           35899                         
Schley                        2645                          381                           42                            1078                          0                             1501                          101                           53                            195                           0                             349                           7                             1                             14                            0                             22                            1872                          
Screven                       8594                          1343                          92                            1711                          0                             3146                          991                           173                           848                           0                             2012                          43                            2                             24                            0                             69                            5227                          
Seminole                      5341                          1229                          88                            753                           0                             2070                          573                           166                           297                           0                             1036                          26                            2                             13                            0                             41                            3147                          
Spalding                      41325                         6034                          530                           8004                          0                             14568                         3491                          700                           4523                          0                             8714                          307                           25                            194                           0                             526                           23808                         
Stephens                      17058                         1735                          348                           4973                          0                             7056                          512                           154                           943                           0                             1609                          85                            12                            110                           0                             207                           8872                          
Stewart                       2917                          312                           60                            328                           0                             700                           448                           158                           310                           0                             916                           14                            3                             9                             0                             26                            1642                          
Sumter                        16395                         2189                          200                           2599                          0                             4988                          1756                          640                           2748                          0                             5144                          82                            6                             56                            0                             144                           10276                         
Talbot                        4334                          732                           43                            351                           0                             1126                          1023                          212                           383                           0                             1618                          42                            5                             8                             0                             55                            2799                          
Taliaferro                    1211                          122                           26                            173                           0                             321                           160                           122                           222                           0                             504                           5                             2                             7                             0                             14                            839                           
Tattnall                      11036                         1939                          239                           2697                          0                             4875                          634                           138                           680                           0                             1452                          38                            9                             53                            0                             100                           6427                          
Taylor                        5068                          564                           95                            1344                          0                             2003                          534                           141                           442                           0                             1117                          26                            3                             22                            0                             51                            3171                          
Telfair                       5525                          1017                          109                           1178                          0                             2304                          521                           215                           419                           0                             1155                          21                            3                             17                            0                             41                            3500                          
Terrell                       6366                          912                           93                            763                           0                             1768                          961                           226                           797                           0                             1984                          42                            7                             13                            0                             62                            3814                          
Thomas                        27686                         4833                          366                           5133                          0                             10332                         2686                          597                           2968                          0                             6251                          157                           13                            86                            0                             256                           16839                         
Tift                          22064                         3435                          263                           5567                          0                             9265                          1703                          261                           1775                          0                             3739                          151                           16                            108                           0                             275                           13279                         
Toombs                        15700                         2270                          315                           3803                          0                             6388                          867                           345                           856                           0                             2068                          78                            6                             64                            0                             148                           8604                          
Towns                         9386                          1441                          192                           3172                          0                             4805                          316                           81                            690                           0                             1087                          43                            2                             49                            0                             94                            5986                          
Treutlen                      4025                          535                           70                            1129                          0                             1734                          229                           67                            453                           4                             753                           12                            1                             19                            0                             32                            2519                          
Troup                         38876                         6563                          541                           7025                          0                             14129                         4068                          688                           3852                          0                             8608                          274                           11                            161                           0                             446                           23183                         
Turner                        5126                          611                           47                            1307                          0                             1965                          518                           93                            514                           0                             1125                          31                            2                             28                            0                             61                            3151                          
Twiggs                        5849                          1131                          59                            748                           0                             1938                          748                           209                           720                           0                             1677                          33                            4                             16                            0                             53                            3668                          
Union                         17800                         3883                          327                           5294                          0                             9504                          646                           135                           1137                          0                             1918                          99                            11                            86                            0                             196                           11618                         
Upson                         15930                         1972                          244                           4649                          0                             6865                          1084                          341                           1844                          0                             3269                          80                            6                             83                            0                             169                           10303                         
Walker                        38613                         7234                          538                           8830                          0                             16602                         1697                          241                           1876                          0                             3814                          345                           17                            223                           0                             585                           21001                         
Walton                        61655                         16962                         1057                          10789                         0                             28808                         4504                          656                           3066                          0                             8226                          626                           24                            267                           0                             917                           37951                         
Ware                          18506                         3628                          324                           3746                          0                             7698                          1094                          286                           1568                          0                             2948                          92                            8                             60                            0                             160                           10806                         
Warren                        3519                          302                           63                            669                           0                             1034                          457                           117                           540                           0                             1114                          15                            4                             17                            0                             36                            2184                          
Washington                    11988                         1586                          223                           2166                          0                             3975                          1732                          464                           1564                          0                             3760                          47                            13                            35                            0                             95                            7830                          
Wayne                         15675                         2867                          324                           4624                          0                             7815                          710                           163                           1030                          0                             1903                          76                            6                             72                            0                             154                           9872                          
Webster                       1493                          174                           69                            393                           0                             636                           205                           79                            133                           0                             417                           4                             1                             2                             0                             7                             1060                          
Wheeler                       2751                          532                           65                            711                           3                             1311                          254                           48                            231                           1                             534                           10                            2                             5                             0                             17                            1862                          
White                         18137                         4545                          399                           4387                          0                             9331                          678                           116                           829                           0                             1623                          183                           13                            96                            0                             292                           11246                         
Whitfield                     46058                         11584                         597                           6910                          0                             19091                         4082                          388                           2325                          0                             6795                          518                           18                            176                           0                             712                           26598                         
Wilcox                        4237                          975                           146                           907                           0                             2028                          368                           51                            250                           0                             669                           17                            2                             12                            0                             31                            2728                          
Wilkes                        6345                          1089                          86                            1322                          0                             2497                          786                           205                           656                           0                             1647                          34                            1                             21                            0                             56                            4200                          
Wilkinson                     6016                          1453                          73                            753                           0                             2279                          845                           185                           768                           0                             1798                          42                            4                             4                             0                             50                            4127                          
Worth                         12645                         3349                          143                           2244                          0                             5736                          883                           152                           772                           0                             1807                          60                            5                             33                            0                             98                            7641                          
Totals:                       6428581                       925786                        82066                         931859                        22                            1939733                       785294                        128652                        888091                        13                            1802050                       60878                         4302                          36406                         0                             101586                        3843369                       

                                                                                                                                                         State School Superintendent
                                                            RICHARD WOODS (I) (REP)                                                                                                                               OTHA E. THORNTON, JR (DEM)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       10613                         2291                          353                           2666                          0                             5310                          594                           165                           542                           0                             1301                          6611                          
Atkinson                      4252                          771                           46                            995                           0                             1812                          316                           42                            237                           0                             595                           2407                          
Bacon                         6010                          592                           128                           2541                          0                             3261                          198                           44                            229                           0                             471                           3732                          
Baker                         2232                          394                           58                            275                           0                             727                           242                           77                            188                           2                             509                           1236                          
Baldwin                       23399                         3085                          363                           4390                          0                             7838                          2896                          776                           3688                          0                             7360                          15198                         
